cluster_name,recipe_filename,job_id,app_start_iso,avg_job_duration_in_mins_sec,status,message
cluster-wf-syn-00-4778,_ETL_m_DM_INFOHUB_BIZLINK.json,application_1774840360_00000,2026-07-29T04:36:00.000Z,43m 31sec,SUCCESS,
cluster-wf-syn-01-2396,_ETL_m_DM_STG_LKP_MEMBER_CALLHUB.json,application_1774840360_00001,2026-07-29T05:52:00.000Z,29m 22sec,SUCCESS,
cluster-wf-syn-02-3374,_ETL_m_DWH_E_MAPLEGROVE_CALLHUB_MAPLEBEND_OAKRIVER.json,application_1774840360_00002,2026-07-29T06:15:00.000Z,77m 25sec,SUCCESS,
cluster-wf-syn-03-2288,_ETL_m_DWH_MAPLEGROVE_PARTYPROFILE_INSERT.json,application_1774840360_00003,2026-07-29T07:54:00.000Z,36m 46sec,,
cluster-wf-syn-04-2949,_ETL_m_GENERATE_ERROR_BRISKGROVE.json,application_1774840360_00004,2026-07-29T08:24:00.000Z,46m 45sec,SUCCESS,
cluster-wf-syn-06-7282,_ETL_m_ODS_TSX61.json,application_1774840360_00006,2026-07-29T04:55:00.000Z,66m 47sec,SUCCESS,
cluster-wf-syn-07-3479,_ETL_m_RDM_TMP_DTX_ACTIVESET_RECAP.json,application_1774840360_00007,2026-07-29T05:19:00.000Z,39m 52sec,SUCCESS,
cluster-wf-syn-08-5826,_ETL_m_SYN_DM_ORDERS_SUMMARY.json,application_1774840360_00008,2026-07-29T06:55:00.000Z,28m 11sec,SUCCESS,
cluster-wf-syn-09-8355,_ETL_m_SYN_DWH_ORDERS_FACT.json,application_1774840360_00009,2026-07-29T07:18:00.000Z,12m 46sec,SUCCESS,
cluster-wf-syn-10-4297,_ETL_m_SYN_ETL_ORDERS_BRIDGE.json,application_1774840360_00010,2026-07-29T08:22:00.000Z,60m 06sec,,
cluster-wf-syn-11-5946,_ETL_m_SYN_ODS_CUSTOMERS.json,application_1774840360_00011,2026-07-29T09:36:00.000Z,18m 28sec,SUCCESS,
cluster-wf-syn-12-9718,_ETL_m_SYN_ODS_ORDERS.json,application_1774840360_00012,2026-07-29T04:50:00.000Z,23m 13sec,SUCCESS,
cluster-wf-syn-13-9910,_ETL_m_SYN_OUT_ORDERS_FEED.json,application_1774840360_00013,2026-07-29T05:25:00.000Z,2m 54sec,SUCCESS,
cluster-wf-syn-14-6412,_ETL_m_SYN_QDM_ORDERS_QUALITY.json,application_1774840360_00014,2026-07-29T06:36:00.000Z,43m 35sec,SUCCESS,
cluster-wf-syn-15-8672,_ETL_m_SYN_RDM_ORDERS_EXPORT.json,application_1774840360_00015,2026-07-29T07:37:00.000Z,16m 38sec,SUCCESS,
cluster-wf-syn-16-7929,_ETL_m_SYN_STG_L_CUSTOMERS_LOAD.json,application_1774840360_00016,2026-07-29T08:29:00.000Z,80m 50sec,SUCCESS,
cluster-wf-syn-17-2291,_ETL_m_SYN_STG_L_ORDERS_LOAD.json,application_1774840360_00017,2026-07-29T09:49:00.000Z,25m 37sec,,
cluster-wf-cas-01-4001,_ETL_m_CAS_STG_L_EVENTS_LOAD.json,application_1774840777_13001,2026-07-29T06:07:00.000Z,8m 06sec,SUCCESS,
cluster-wf-cas-02-4002,_ETL_m_CAS_STG_L_REFS_LOAD.json,application_1774840777_13002,2026-07-29T07:14:00.000Z,5m 43sec,SUCCESS,
cluster-wf-cas-03-4003,_ETL_m_CAS_ODS_EVENTS.json,application_1774840777_13003,2026-07-29T08:21:00.000Z,18m 20sec,SUCCESS,
cluster-wf-cas-04-4004,_ETL_m_CAS_ODS_EVENTS_ENRICH.json,application_1774840777_13004,2026-07-29T09:28:00.000Z,11m 37sec,SUCCESS,
cluster-wf-cas-05-4005,_ETL_m_CAS_DWH_EVENTS_FACT.json,application_1774840777_13005,2026-07-29T10:35:00.000Z,54m 34sec,FAILED,Executor lost: shuffle fetch failed (synthetic CAS)
cluster-wf-cas-06-4006,_ETL_m_CAS_ODS_REFS.json,application_1774840777_13006,2026-07-29T05:42:00.000Z,7m 11sec,SUCCESS,
cluster-wf-cas-07-4007,_ETL_m_CAS_ETL_EVENTS_SPLIT.json,application_1774840777_13007,2026-07-29T06:49:00.000Z,22m 28sec,SUCCESS,
cluster-wf-cas-08-4008,_ETL_m_CAS_CDM_EVENTS_MART.json,application_1774840777_13008,2026-07-29T07:56:00.000Z,36m 25sec,SUCCESS,
cluster-wf-cas-09-4009,_ETL_m_CAS_RDM_EVENTS_EXPORT.json,application_1774840777_13009,2026-07-29T08:03:00.000Z,11m 02sec,SUCCESS,
cluster-wf-cas-10-4010,_ETL_m_CAS_QDM_EVENTS_QUALITY.json,application_1774840777_13010,2026-07-29T09:10:00.000Z,5m 09sec,SUCCESS,
cluster-wf-cas-11-4011,_ETL_m_CAS_OUT_EVENTS_FEED.json,application_1774840777_13011,2026-07-29T10:17:00.000Z,6m 16sec,SUCCESS,
cluster-wf-cas-12-4012,_ETL_m_CAS_DWH_ORPHAN_METRICS.json,application_1774840777_13012,2026-07-29T05:24:00.000Z,3m 23sec,SUCCESS,
